OBJECTID,FID,id,lat,long,cbsaName,cbsaGUID,plantId,tabID,panelID,panelNumbe,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
33,110844,599099,40.866024,-73.859875,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30598601,854675,1635,WILLIAMSBRIDGE ROAD  NL 250F E OF BOSTON ROAD,W,57269,POSTERS,-8222043.675,4992600.274
34,108793,444237,40.73235,-74.01024,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30492076,528310,1563,WESTSIDE HIGHWAY  EL 5F N OF CHRISTOPHER STREET,S,407350,BULLETINS,-8238782.23,4972943.147
35,111872,664079,40.717754,-73.999969,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30599266,980939,1530,CANAL STREET E/O CENTRE STREET,NW,483895,BULLETINS,-8237638.868,4970799.159
36,92466,366349,40.63528,-73.92878,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30751516,1067328,1825,GLENWOOD ROAD  SL 50F W OF UTICA AVENUE,E,74268,POSTERS,-8229714.145,4958693.48
37,107120,436223,40.86687,-73.86065,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480851,503735,409,WILLIAMSBRIDGE ROAD  NL 150F E OF BOSTON ROAD,W,16979,POSTERS,-8222129.948,4992724.806
38,123768,707569,40.712743,-73.937408,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30716728,1047507,1814,GRAND STREET  NL 50F W OF CATHERINE STREET,W,34581,POSTERS,-8230674.609,4970063.208
39,108065,443499,40.83191,-73.90959,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30491900,524788,70151,E 168TH STREET  SL 75F W OF BROOK AVENUE,W,42927,JR POSTERS,-8227577.924,4987579.953
40,112994,436512,40.858304,-73.884462,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635726,992692,7512,E FORDHAM ROAD  NL 50F W OF HUGHES AVENUE,E,97047,POSTERS,-8224780.687,4991463.948
41,144810,732922,40.647739,-73.915288,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30851375,1121105,1357,DITMAS AVENUE NL 75F W OF REMSEN AVENUE,E,35808,POSTERS,-8228212.222,4960521.274
42,112258,664897,40.677361,-73.931124,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635763,983523,41040,ATLANTIC AVENUE  SL 75F W OF UTICA AVENUE,E,63038,JR POSTERS,-8229975.078,4964868.332
43,141148,730368,40.696827,-73.96282,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30839011,1115261,4048,BQE 1 mi S/O WIlliamsburg Bridge,S,300264,BULLETINS,-8233503.46,4967726.039
44,144809,732922,40.647739,-73.915288,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30851374,1121104,1356,DITMAS AVENUE NL 75F W OF REMSEN AVENUE,E,35808,POSTERS,-8228212.222,4960521.274
45,107089,436146,40.695347,-73.801405,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30492051,503617,760,SOUTH ROAD NL 200F E OF SUTPHIN BOULEVARD,E,25291,POSTERS,-8215534.824,4967508.738
46,126211,713335,40.72396,-73.996069,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30752501,1068744,1224,Lafayette @ Prince,W,109249,BULLETINS,-8237204.722,4971710.693
47,106664,435688,40.75165,-73.90985,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480954,502916,795,WOODSIDE AVENUE WL 5F N OF 37TH AVENUE,S,36853,POSTERS,-8227606.867,4975778.821
48,120217,693567,40.636974,-73.9363,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30657972,1024749,1774,FARRAGUT ROAD SL 75F W OF E 43RD STREET,E,24159,POSTERS,-8230551.267,4958941.978
49,94964,395897,40.837298,-73.875171,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30768839,1086454,1354,E 177TH STREET  SL 5F W OF BRONX RIVER PARKWAY,NE,111028,POSTERS,-8223746.418,4988372.695
50,107348,436529,40.88722,-73.8252,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481585,504210,7004,BOSTON POST RD S/O WESTCHESTER CNTY LINE,S,70988,BULLETINS,-8218183.672,4995720.845
51,124774,711047,40.812,-73.8852,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30720363,1061970,1347,RANDALL AVENUE  SL 5F W OF BRYANT AVENUE,E,46019,POSTERS,-8224862.841,4984651.13
52,107261,436407,40.65152,-73.90945,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30491958,526669,587,ROCKAWAY PKWY EL 50F N OF DITMAS AVE,S,39526,POSTERS,-8227562.339,4961076.032
53,123759,707555,40.83695,-73.921099,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30711086,1047452,1335,JEROME AVENUE  WL 150F N OF E 167TH STREET,N,76471,POSTERS,-8228859.1,4988321.492
54,112243,664893,40.750761,-73.948908,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635700,983106,2517,11TH STREET  WL 100F S OF 43RD ROAD,N,44862,POSTERS,-8231954.783,4975648.186
55,120884,694277,40.657429,-73.889816,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30659641,1026471,1761,PENNSYLVANIA AVENUE WL 50F S OF LINDEN BOULEVARD,S,55874,POSTERS,-8225376.692,4961943.079
56,107093,436147,40.76459,-73.90451,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30704504,1034988,2554,49TH STREET WL 50F N OF 25TH AVENUE,N,26458,POSTERS,-8227012.421,4977680.507
57,124253,709068,40.842418,-73.90384,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30736899,1053690,1344,WEBSTER AVENUE  EL 5F N OF BELMONT STREET,N,28460,POSTERS,-8226937.837,4989126.067
58,111814,663925,40.575555,-73.979739,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30599098,980632,1711,SURF AVENUE NL 5F W OF W 12TH STREET,E,62714,POSTERS,-8235386.875,4949936.273
59,140208,729182,40.816556,-73.892039,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30820328,1111645,1349,LAFAYETTE AVENUE  NL 50F E OF GARRISON AVENUE,W,18649,POSTERS,-8225624.155,4985321.254
60,113556,673893,40.825227,-73.882206,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30640126,997196,1670,BRONX RIVER AVENUE  EL 250F N OF BRUCKNER BOULEVARD,S,25876,POSTERS,-8224529.551,4986596.764
61,133721,723147,40.66616,-73.785177,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30773550,1096582,5074,BELT PKWY @JFK,E,249583,BULLETINS,-8213728.332,4963224.347
62,107303,436452,40.855541,-73.905588,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30491863,504092,331,JEROME AVENUE EL 75F S OF E 181ST STREET,S,77908,POSTERS,-8227132.423,4991057.288
63,108922,444403,40.546351,-74.159044,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30496334,529265,421,AMBOY ROAD  WL 5F S OF ARMSTRONG AVENUE,SW,45254,POSTERS,-8255347.016,4945657.068
64,118543,683703,40.86121,-73.92131,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30650824,1011872,1580,10TH AVENUE EL 5F S OF W 202ND STREET,N,54919,POSTERS,-8228882.588,4991891.674
65,112864,672029,40.695437,-73.962525,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635713,992034,2529,PARK AVENUE  SL 50F W OF EMERSON PLACE,E,45992,POSTERS,-8233470.621,4967521.952
66,111855,366352,40.75198,-73.93192,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635693,980753,2507,NORTHERN BOULEVARD  SL 75F W OF HONEYWELL STREET,W,91435,POSTERS,-8230063.688,4975827.314
67,120215,693567,40.636974,-73.9363,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30657970,1024747,1772,FARRAGUT ROAD SL 50F E OF E 42ND STREET,W,29596,POSTERS,-8230551.267,4958941.978
68,112134,664709,40.90164,-73.850915,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635661,982740,1651,FURMAN AVENUE  WL 5F S OF E 240TH STREET,N,38130,POSTERS,-8221046.252,4997844.394
69,126204,713319,40.719592,-73.999715,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30752483,1068728,1206,LAFAYETTE STREET S/O GRAND STREET,N,83805,BULLETINS,-8237610.593,4971069.115
70,123975,707902,40.672866,-73.999517,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30717148,1048776,1817,HAMILTON AVENUE  WL 50F N OF LORRAINE STREET,S,94472,POSTERS,-8237588.551,4964208.562
71,112255,664897,40.677361,-73.931124,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635696,983127,2513,ATLANTIC AVENUE  SL 75F W OF UTICA AVENUE,E,104830,POSTERS,-8229975.078,4964868.332
72,143146,731921,40.883571,-73.827548,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30846806,1118751,7041,I-95 .75 mi S/O Hutchinson River Parkway,S,350068,BULLETINS,-8218445.05,4995183.551
73,120214,693567,40.636974,-73.9363,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30657969,1024746,1771,FARRAGUT ROAD SL 50F E OF E 42ND STREET,W,29596,POSTERS,-8230551.267,4958941.978
74,113354,673585,40.702304,-73.79158,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635675,996419,1706,LIBERTY AVENUE  NL 75F W OF MERRICK BOULEVARD,W,70265,POSTERS,-8214441.11,4968530.24
75,107399,693558,40.697315,-73.805736,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481134,504295,776,SUTPHIN BOULEVARD  WL 5F N OF 97TH AVENUE,N,64043,POSTERS,-8216016.949,4967797.69
76,140211,729182,40.816556,-73.892039,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30820331,1111648,1352,TIFFANY STREET  WL 50F S OF GARRISON AVENUE,N,46910,POSTERS,-8225624.155,4985321.254
77,107333,436496,40.758066,-73.998011,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30492061,504163,1049,LINCOLN TUNNEL S/O W 39TH STREET,N,570604,BULLETINS,-8237420.904,4976721.682
78,107105,436186,40.83941,-73.87278,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480842,503683,305,E TREMONT AVENUE  SL 200F W OF VAN NEST AVENUE,E,65834,POSTERS,-8223480.253,4988683.454
